Symbol,Company Name,Market Cap,Sector,Price,Change 1D,Volume,PE Ratio
DSGX,Descartes Systems Group,7.02B,Information Technology,83.12,-0.24%,"62,679",98.95
DDS,Dillard's,7.02B,Consumer Discretionary,340.77,-9.77%,"273,453",11.92
ZNGA,Zynga Inc.,6.99B,Communication Services,6.44,2.06%,"10,091,577",0.00
WK,Workiva,6.98B,Information Technology,137.22,-1.66%,"213,288",0.00
WOOF,Petco,6.98B,Consumer Discretionary,20.04,-0.50%,"856,093",61.47
SRPT,Sarepta Therapeutics,6.93B,Health Care,79.62,-1.68%,"473,422",0.00
AMG,Affiliated Managers Group,6.92B,Financials,170.19,-3.38%,"107,835",14.78
OGE,OGE Energy,6.92B,Utilities,34.56,-2.37%,"543,867",14.64
VOYA,Voya Financial,6.89B,Financials,62.11,-3.63%,"1,855,507",4.22
PPC,Pilgrim's Pride,6.89B,Consumer Staples,28.26,-1.64%,"252,842",0.00
MBT,Mobile TeleSystems PJSC,6.88B,Communication Services,7.97,-3.86%,"2,258,488",7.67
MSTR,MicroStrategy,6.87B,Information Technology,663.00,-5.41%,"372,029",0.00
BYD,Boyd Gaming,6.86B,Consumer Discretionary,61.03,-1.39%,"1,247,586",15.94
RPD,Rapid7,6.85B,Information Technology,124.42,-2.45%,"199,139",0.00
CYBR,CyberArk Software,6.84B,Information Technology,174.88,0.11%,"133,327",0.00
SNV,Synovus Financial,6.83B,Financials,46.93,-5.91%,"751,692",10.32
WWD,Woodward,6.81B,Industrials,108.03,-5.89%,"313,751",32.66
OLED,Universal Display,6.81B,Information Technology,144.44,-2.11%,"340,785",35.85
NTCO,Natura &amp;Co Holding,6.79B,Consumer Staples,9.84,-2.19%,"972,337",69.30
RGLD,Royal Gold,6.74B,Materials,102.32,1.00%,"249,851",25.33
RCM,R1 RCM Inc.,6.74B,Health Care,24.00,-4.65%,"964,007",0.00
DOOO,BRP Inc.,6.74B,Consumer Discretionary,80.50,-2.35%,"70,957",9.72
TNET,TriNet Group,6.74B,Industrials,102.47,-3.79%,"131,620",23.59
PB,Prosperity Bancshares,6.71B,Financials,72.81,-4.03%,"248,098",12.75
OHI,Omega Healthcare Investors,6.70B,Real Estate,28.05,-3.87%,"2,779,860",14.84
IIVI,II-VI Incorporated,6.65B,Information Technology,62.69,-2.61%,"1,120,920",25.40
VIPS,Vipshop Holdings,6.65B,Consumer Discretionary,9.84,-4.56%,"5,588,318",6.96
VAC,Marriott Vacations Worldwide,6.65B,Consumer Discretionary,156.14,-6.17%,"425,579",0.00
BRZE,Braze,6.63B,Information Technology,73.51,-0.73%,"282,198",0.00
WCC,WESCO International,6.62B,Industrials,131.39,-3.52%,"265,881",26.11
MTTR,Matterport,6.61B,Technology,27.27,-4.28%,"3,721,038",0.00
WU,Western Union,6.59B,Information Technology,16.40,-1.26%,"5,299,288",8.33
NEP,NextEra Energy Partners,6.57B,Utilities,85.73,-2.24%,"164,160",31.02
RGA,Reinsurance Group of America,6.57B,Financials,97.14,-9.58%,"716,440",11.20
IAA,"IAA, Inc.",6.56B,Industrials,48.64,-3.26%,"378,335",23.16
X,United States Steel,6.56B,Materials,24.27,-3.42%,"10,380,547",2.03
EME,EMCOR Group,6.54B,Industrials,122.62,-4.66%,"238,091",18.54
PFGC,Performance Food Group,6.54B,Consumer Staples,42.39,-4.57%,"1,272,841",126.16
COLM,Columbia Sportswear,6.53B,Consumer Discretionary,100.18,-2.86%,"195,757",22.76
VICR,Vicor Corporation,6.52B,Industrials,148.31,-2.35%,"124,267",112.70
GPS,The Gap,6.52B,Consumer Discretionary,17.33,-2.86%,"11,937,508",8.78
POST,Post Holdings,6.51B,Consumer Staples,102.15,-1.49%,"180,439",36.65
BL,BlackLine,6.49B,Information Technology,110.68,-1.43%,"309,888",0.00
GMED,Globus Medical,6.49B,Health Care,63.95,-4.42%,"387,614",35.20
ESLT,Elbit Systems,6.49B,Industrials,146.78,-3.29%,"27,669",25.04
WTS,Watts Water Technologies,6.49B,Industrials,192.97,-2.64%,"91,377",42.33
LSTR,Landstar System,6.49B,Industrials,170.24,-2.66%,"164,403",19.59
OMF,OneMain Holdings,6.48B,Financials,50.06,-2.05%,"945,765",4.77
EXP,Eagle Materials,6.48B,Materials,159.25,-3.09%,"156,509",19.41
ASAI,Sendas Distribuidora,6.47B,Consumer Staples,11.96,-2.13%,"102,086",5.55
NVST,Envista Holdings,6.47B,Health Care,40.08,-3.61%,"679,422",19.64
CHNG,Change Healthcare,6.46B,Health Care,20.73,-0.14%,"1,234,919",0.00
BPOP,Popular,6.46B,Financials,80.86,-6.22%,"407,551",7.39
INGR,Ingredion,6.43B,Consumer Staples,96.61,-1.58%,"295,029",39.64
GTLS,Chart Industries,6.42B,Industrials,176.54,-2.68%,"191,892",23.42
SWAV,ShockWave Medical,6.42B,Health Care,183.60,-5.32%,"259,906",0.00
INMD,InMode,6.42B,Health Care,84.00,-0.80%,"1,108,811",48.39
HNP,Huaneng Power International,6.40B,Utilities,16.30,-4.62%,"11,669",0.00
GPK,Graphic Packaging Holding,6.39B,Materials,20.80,-1.09%,"1,250,147",26.07
KBR,"KBR, Inc.",6.39B,Information Technology,45.52,-3.52%,"1,087,753",0.00
NXST,Nexstar Media Group,6.38B,Communication Services,155.93,-2.77%,"184,515",7.46
IIPR,Innovative Industrial Properties,6.38B,Real Estate,266.46,-0.97%,"130,273",61.27
LAZR,Luminar Technologies,6.37B,Technology,17.63,-1.95%,"2,130,006",0.00
BEPC,Brookfield Renewable Corporation,6.36B,Utilities,36.68,-1.19%,"493,188",0.00
VVV,Valvoline,6.36B,Materials,35.16,-3.70%,"678,304",15.35
REYN,Reynolds Consumer Products,6.35B,Consumer Cyclical,30.29,-0.03%,"178,352",19.21
SGMS,Scientific Games,6.35B,Consumer Discretionary,65.30,-0.70%,"607,862",34.53
ASGN,ASGN Incorporated,6.34B,Industrials,121.76,-5.88%,"214,509",17.21
COHR,Coherent,6.34B,Information Technology,258.30,-1.13%,"54,723",0.00
ASH,Ashland,6.33B,Materials,104.21,-1.88%,"212,954",29.03
AMBA,Ambarella,6.31B,Information Technology,172.21,-4.97%,"332,183",0.00
ZIM,ZIM Integrated Shipping Services,6.31B,Industrials,53.18,-2.60%,"2,597,495",2.98
LPL,LG Display,6.30B,Information Technology,8.56,-7.56%,"766,064",5.11
PLAN,Anaplan,6.30B,Information Technology,43.12,-2.49%,"2,529,516",0.00
AZEK,AZEK Company,6.29B,Industrials,40.59,-1.70%,"523,431",0.00
LITE,Lumentum Holdings,6.28B,Information Technology,86.82,-2.68%,"350,684",16.39
INSP,Inspire Medical Systems,6.26B,Health Care,228.73,-6.40%,"205,251",0.00
CACI,CACI International,6.25B,Information Technology,268.05,-2.96%,"36,134",14.58
BMBL,Bumble,6.25B,Technology,33.83,-1.60%,"849,959",145.19
CZOO,Cazoo Group,6.24B,Technology,8.30,-5.14%,"457,209",0.00
CIGI,Colliers International Group,6.24B,Real Estate,140.92,-2.67%,"58,350",0.00
PSO,Pearson,6.24B,Communication Services,8.24,-2.83%,"216,974",16.61
ALK,Alaska Air Group,6.20B,Industrials,49.45,-6.54%,"3,090,166",475.48
SITM,SiTime,6.19B,Information Technology,300.98,0.81%,"466,706",414.00
POWI,Power Integrations,6.18B,Information Technology,102.38,-2.47%,"294,118",41.65
AMBP,Ardagh Metal Packaging,6.18B,Consumer Cyclical,9.61,0.42%,"470,358",0.00
STN,Stantec,6.16B,Industrials,55.00,-2.19%,"56,985",38.52
GBCI,Glacier Bancorp,6.16B,Financials,55.62,-5.81%,"320,805",16.81
SHC,Sotera Health,6.13B,Healthcare,21.68,-1.05%,"360,805",159.41
SPT,Sprout Social,6.11B,Information Technology,111.28,0.34%,"292,486",0.00
NVT,nVent Electric,6.10B,Industrials,36.26,-2.37%,"651,964",24.29
EHC,Encompass Health,6.09B,Health Care,61.18,-2.67%,"464,796",15.06
HCM,HUTCHMED,6.08B,Health Care,35.18,6.09%,"239,443",0.00
EXPO,Exponent,6.08B,Industrials,116.71,-4.54%,"133,079",60.47
LPX,Louisiana-Pacific,6.08B,Materials,69.10,-3.28%,"815,723",4.94
THO,Thor Industries,6.06B,Consumer Discretionary,109.19,0.89%,"563,811",9.21
SON,Sonoco Products,6.06B,Materials,60.81,-1.81%,"375,442",0.00
FSK,FS KKR Capital,6.05B,Financials,21.22,-1.44%,"1,352,210",2.46
QDEL,Quidel Corporation,6.03B,Health Care,144.81,9.99%,"757,615",7.01
CRSP,CRISPR Therapeutics,6.03B,Health Care,78.79,-2.63%,"1,053,363",14.97
PAC,Grupo Aeroportuario del Pacifico,6.03B,Industrials,116.98,-7.24%,"25,465",27.46
KT,KT Corporation,6.02B,Communication Services,12.76,-1.47%,"240,821",7.97
DCP,DCP Midstream,6.02B,Energy,28.55,-2.92%,"463,441",58.27
TIMB,TIM S.A.,6.01B,Communication Services,12.38,-0.56%,"325,064",11.26
CBL,CBL Properties,5.99B,Real Estate,30.47,-3.55%,"34,870",0.00
ARVL,Arrival,5.97B,Consumer Cyclical,9.62,0.73%,"1,539,079",0.00
ESI,Element Solutions,5.97B,Materials,24.11,-2.15%,"1,325,086",26.26
CLH,Clean Harbors,5.96B,Industrials,109.52,-1.32%,"159,343",31.11
TXRH,Texas Roadhouse,5.95B,Consumer Discretionary,85.47,-3.68%,"909,840",28.30
BPMC,Blueprint Medicines,5.93B,Health Care,100.85,-3.30%,"265,861",0.00
HBI,Hanesbrands,5.92B,Consumer Discretionary,16.82,-1.87%,"2,762,183",0.00
WEX,WEX Inc.,5.91B,Information Technology,131.93,-3.78%,"688,370",0.00
MSA,MSA Safety,5.90B,Industrials,150.49,-2.53%,"49,319",64.01
HELE,Helen of Troy,5.90B,Consumer Discretionary,244.49,-1.61%,"118,158",28.19
HGV,Hilton Grand Vacations,5.90B,Consumer Discretionary,49.22,-6.59%,"982,040",0.00
DEI,Douglas Emmett,5.89B,Real Estate,33.54,-5.41%,"510,185",94.48
CR,Crane Co.,5.88B,Industrials,100.09,-4.57%,"181,489",14.39
MGP,MGM Growth Properties,5.87B,Real Estate,37.49,-2.06%,"762,240",27.83
ALGM,Allegro MicroSystems,5.87B,Information Technology,30.93,-2.12%,"280,536",128.34
FSR,Fisker,5.86B,Financials,19.79,-2.89%,"5,145,581",0.00
ALTR,Altair Engineering,5.85B,Information Technology,74.16,-2.16%,"120,276",0.00
OZK,Bank OZK,5.83B,Financials,45.29,-4.99%,"496,332",10.68
HAYW,Hayward Holdings,5.83B,Consumer Discretionary,25.10,-2.33%,"454,831",80.71
BBIO,BridgeBio Pharma,5.82B,Health Care,39.55,-2.92%,"488,476",0.00
SHI,Sinopec Shanghai Petrochemical,5.81B,Materials,23.50,-2.49%,"20,100",5.00
PRI,Primerica,5.80B,Financials,146.97,-4.55%,"99,132",13.33
NCNO,"nCino, Inc.",5.80B,Information Technology,60.32,-1.34%,"627,734",0.00
GT,Goodyear Tire &amp; Rubber,5.80B,Consumer Discretionary,20.62,-6.32%,"4,074,150",18.92
ROLL,RBC Bearings,5.79B,Industrials,200.56,-3.73%,"124,715",64.39
AR,Antero Resources,5.77B,Energy,18.39,-3.06%,"6,147,835",0.00
CADE,Cadence Bank,5.77B,Financials,29.98,-4.55%,"1,047,872",10.86
RVLV,Revolve Group,5.77B,Consumer Discretionary,79.18,-4.30%,"523,423",64.53
NYCB,New York Community Bancorp,5.77B,Financials,12.40,-2.82%,"4,808,185",9.64
HOG,Harley-Davidson,5.75B,Consumer Discretionary,37.40,-3.63%,"789,845",10.88
MDU,MDU Resources Group,5.75B,Utilities,28.28,-3.48%,"624,095",14.13
AVAL,Grupo Aval Acciones y Valores,5.75B,Financials,5.16,-,"77,809",6.79
CUZ,Cousins Properties,5.73B,Real Estate,38.55,-2.90%,"618,851",46.84
OTLY,Oatly Group,5.72B,Consumer Defensive,9.67,-1.43%,"2,916,792",0.00
NOVT,Novanta,5.70B,Information Technology,160.23,-6.12%,"119,722",116.11
VRNS,Varonis Systems,5.70B,Information Technology,51.76,-2.43%,"488,838",0.00
BB,BlackBerry,5.67B,Information Technology,9.97,-2.35%,"4,338,527",0.00
EEFT,Euronet Worldwide,5.67B,Information Technology,107.27,-6.15%,"459,230",39.76
NATI,National Instruments,5.67B,Information Technology,42.98,-3.52%,"339,827",106.92
TRNO,Terreno Realty,5.67B,Real Estate,75.74,-3.39%,"237,079",77.13
VLY,Valley National Bancorp,5.66B,Financials,13.90,-5.25%,"1,900,626",12.52
DDL,Dingdong,5.65B,Consumer Defensive,23.95,2.97%,"30,092",0.00
IS,ironSource,5.64B,Technology,8.94,-1.87%,"1,413,937",194.35
OWL,Blue Owl Capital,5.63B,Financial Services,15.44,-0.96%,"669,713",0.00
SRC,Spirit Realty Capital,5.61B,Real Estate,45.50,-3.50%,"572,227",35.88
COKE,Coca-Cola Consolidated,5.60B,Consumer Staples,597.10,0.18%,"30,287",23.73
FLO,Flowers Foods,5.59B,Consumer Staples,26.46,-2.07%,"616,578",25.20
EVR,Evercore,5.59B,Financials,143.31,-3.58%,"248,988",9.42
SAM,The Boston Beer Company,5.58B,Consumer Staples,454.64,-2.09%,"138,398",57.07
IGT,International Game Technology,5.58B,Consumer Discretionary,27.19,-1.66%,"1,266,090",25.32
ORCC,Owl Rock Capital,5.56B,Financials,14.06,-1.06%,"1,506,279",8.71
SRCL,Stericycle,5.55B,Industrials,60.43,-0.64%,"296,038",146.32
PACW,PacWest Bancorp,5.53B,Financials,46.28,-6.01%,"721,346",9.34
SID,Companhia Siderurgica Nacional,5.52B,Materials,4.00,-2.44%,"3,035,779",2.02
AQUA,Evoqua Water Technologies,5.51B,Industrials,45.81,-1.48%,"608,688",99.80
AMN,AMN Healthcare Services,5.51B,Health Care,116.49,1.62%,"402,153",25.35
RYN,Rayonier,5.50B,Real Estate,38.45,-2.44%,"291,866",34.67
DNLI,Denali Therapeutics,5.50B,Health Care,45.02,-5.50%,"335,074",190.76
SMTC,Semtech,5.50B,Information Technology,85.35,-4.65%,"188,428",61.85
IART,Integra LifeSciences,5.49B,Health Care,64.86,-3.85%,"157,232",25.54
RRC,Range Resources,5.49B,Energy,21.13,-0.84%,"3,227,913",0.00
VNT,Vontier,5.49B,Information Technology,32.47,-2.52%,"949,423",12.66
NFG,National Fuel Gas,5.49B,Utilities,60.18,-2.73%,"277,284",15.16
LEG,Leggett &amp; Platt,5.48B,Consumer Discretionary,41.11,-2.88%,"715,077",14.08
EXPI,eXp World Holdings,5.47B,Real Estate,36.70,-2.70%,"508,776",78.59
SIG,Signet Jewelers,5.47B,Consumer Discretionary,103.06,-1.68%,"800,836",9.66
HRI,Herc Holdings,5.46B,Industrials,184.02,-3.61%,"150,930",29.59
MRVI,Maravai LifeSciences,5.45B,Healthcare,41.49,11.65%,"1,936,570",8.80
ASR,Grupo Aeroportuario del Sureste,5.45B,Industrials,181.75,-5.91%,"26,537",25.31
SSB,South State Corporation,5.45B,Financials,78.05,-5.11%,"257,192",12.20
NSA,National Storage Affiliates Trust,5.45B,Real Estate,61.14,-3.43%,"322,000",65.81
PAAS,Pan American Silver,5.44B,Materials,25.79,-2.35%,"1,129,580",21.49
AMKR,Amkor Technology,5.44B,Information Technology,22.23,-4.47%,"634,121",9.80
DADA,Dada Nexus,5.44B,Consumer Discretionary,22.79,-3.47%,"752,426",0.00
IDA,"IDACORP, Inc.",5.40B,Utilities,106.95,-1.19%,"118,057",21.65
APG,APi Group,5.40B,Industrials,24.05,-1.84%,"483,034",0.00
EXEL,Exelixis,5.40B,Health Care,17.06,-2.40%,"1,382,387",33.45
FVRR,Fiverr International,5.39B,Consumer Discretionary,147.55,1.51%,"726,222",0.00
UFPI,UFP Industries,5.38B,Industrials,86.96,-4.63%,"172,181",11.74
TENB,Tenable Holdings,5.38B,Information Technology,50.08,-2.42%,"393,242",0.00
SI,Silvergate Capital,5.36B,Financials,201.66,-5.78%,"831,276",72.28
BEAM,Beam Therapeutics,5.36B,Consumer Staples,78.69,-3.93%,"461,182",0.00
FIGS,FIGS,5.36B,Consumer Cyclical,32.78,-0.55%,"1,490,935",0.00
BCPC,Balchem Corporation,5.35B,Materials,165.28,-2.52%,"67,431",57.79
AB,AllianceBernstein,5.35B,Financials,54.18,-2.45%,"194,207",15.35
NCR,NCR Corporation,5.34B,Information Technology,40.49,-5.79%,"839,548",0.00
CELH,Celsius Holdings,5.34B,Consumer Staples,71.38,-2.61%,"800,405",648.91
APPS,Digital Turbine,5.30B,Information Technology,54.87,-2.61%,"2,122,910",103.53
APPN,Appian Corporation,5.29B,Information Technology,74.31,-2.16%,"295,413",0.00
TFSL,TFS Financial,5.28B,Financials,18.81,-3.29%,"201,243",64.86
TKR,Timken,5.28B,Industrials,69.58,-5.24%,"237,379",14.95
AMEH,Apollo Medical Holdings,5.25B,Health Care,94.56,-3.80%,"211,052",58.62
AVNT,Avient,5.25B,Materials,57.40,-3.38%,"261,468",19.12
DV,DoubleVerify,5.24B,Technology,33.05,0.18%,"428,980","1,502.27"
SRAD,Sportradar,5.24B,Technology,17.71,-5.70%,"415,008",0.75
SLM,SLM Corporation,5.24B,Financials,17.86,-3.46%,"1,645,865",4.76
CRCT,Cricut,5.23B,Technology,23.53,-0.17%,"356,977",26.77
FIZZ,National Beverage,5.23B,Consumer Staples,56.05,-1.41%,"171,256",29.66
ZD,Ziff Davis,5.23B,Information Technology,111.82,-4.23%,"167,218",27.14
VG,Vonage Holdings,5.22B,Communication Services,20.69,0.15%,"4,206,203",0.00
RARE,Ultragenyx Pharmaceutical,5.21B,Health Care,76.49,-1.41%,"226,696",0.00
NFE,New Fortress Energy,5.20B,Energy,25.16,-5.87%,"693,201",0.00
WTFC,Wintrust Financial,5.20B,Financials,91.06,-5.57%,"421,090",11.95
ACHC,Acadia Healthcare Company,5.20B,Health Care,57.81,-5.62%,"193,026",0.00
AWI,Armstrong World Industries,5.20B,Industrials,109.44,-4.03%,"166,455",32.12
TRUP,Trupanion,5.19B,Financials,126.79,1.41%,"157,301",0.00
JBT,John Bean Technologies,5.19B,Industrials,163.36,-3.76%,"95,180",44.76
DRVN,Driven Brands,5.18B,Consumer Cyclical,30.97,-2.58%,"151,964",118.66
MIME,Mimecast,5.17B,Information Technology,77.94,-4.40%,"615,765",117.73
VMI,Valmont Industries,5.17B,Industrials,243.78,-3.97%,"33,692",25.54
IQ,"iQIYI, Inc.",5.16B,Communication Services,6.54,-3.68%,"8,286,737",0.00
HFC,HollyFrontier,5.16B,Energy,31.73,-6.57%,"1,478,345",10.96
PACB,Pacific Biosciences of California,5.14B,Health Care,23.32,-0.30%,"1,406,905",0.00
PDCE,PDC Energy,5.14B,Energy,52.79,-5.22%,"881,268",123.92
NRZ,New Residential Investment,5.14B,Financials,11.01,-1.96%,"4,502,213",8.04
ABCM,Abcam PLC,5.14B,Healthcare,22.45,-0.75%,"26,187",231.44
MXL,MaxLinear,5.12B,Information Technology,66.69,-3.22%,"313,930",0.00
PYCR,Paycor,5.10B,Technology,29.23,-2.86%,"136,890",0.00
SSD,Simpson Manufacturing,5.09B,Industrials,117.17,-2.07%,"166,787",22.55
ANAT,American National Group,5.09B,Financials,189.30,-0.29%,"67,778",6.74
TV,Grupo Televisa,5.08B,Communication Services,9.07,-2.58%,"1,506,969",19.51
WBS,Webster Financial,5.07B,Financials,55.72,-5.75%,"645,388",14.39
MAN,ManpowerGroup,5.07B,Industrials,93.52,-5.06%,"235,874",15.07
JOBY,Joby Aviation,5.07B,Industrials,8.39,2.07%,"1,469,408",0.00
ELY,Callaway Golf,5.07B,Consumer Discretionary,27.24,-3.20%,"1,100,692",13.48
ENVX,Enovix,5.06B,Industrials,34.87,-1.83%,"478,381",0.00
ROG,Rogers Corporation,5.06B,Information Technology,270.35,-0.42%,"286,375",50.80
MTSI,MACOM Technology Solutions,5.06B,Information Technology,73.59,-3.70%,"310,158",136.28
SPSC,SPS Commerce,5.06B,Information Technology,140.60,-2.97%,"86,815",114.40
FL,Foot Locker,5.06B,Consumer Discretionary,48.70,-2.29%,"1,498,234",5.03
PRGO,Perrigo,5.05B,Health Care,37.78,-2.70%,"674,928",0.00
CIT,CIT Group,5.05B,Financials,50.96,-5.42%,"560,178",7.41
MARA,Marathon Digital Holdings,5.05B,Information Technology,49.20,-6.09%,"6,693,176",0.00
STNE,StoneCo,5.05B,Information Technology,16.34,-4.28%,"7,816,357",0.00
CW,Curtiss-Wright,5.04B,Industrials,128.52,-4.67%,"141,348",21.60
QLYS,Qualys,5.04B,Information Technology,129.71,-2.84%,"161,363",71.98
SWN,Southwestern Energy,5.03B,Energy,4.96,-0.20%,"15,254,860",0.00
IRDM,Iridium Communications,5.03B,Communication Services,38.06,-3.11%,"473,061",0.00
CC,Chemours Company,5.03B,Materials,30.85,-5.14%,"978,298",13.26
FCN,FTI Consulting,5.02B,Industrials,146.52,-2.18%,"99,205",20.50
FATE,Fate Therapeutics,5.02B,Health Care,52.52,-3.49%,"424,250",0.00
SAIC,Science Applications International,5.01B,Information Technology,87.09,-1.19%,"257,000",17.94
GSHD,Goosehead Insurance,5.00B,Financials,135.15,-1.61%,"141,498",341.29
UNM,Unum Group,5.00B,Financials,24.45,-4.12%,"3,015,963",6.27
SQSP,Squarespace,5.00B,Technology,36.00,-3.56%,"121,960",0.00
WING,Wingstop,5.00B,Consumer Discretionary,167.56,-0.47%,"218,533",172.39
MLCO,Melco Resorts &amp; Entertainment,4.96B,Consumer Discretionary,10.40,-10.34%,"6,009,160",0.00
STL,Sterling Bancorp,4.95B,Financials,25.68,-5.59%,"1,595,585",13.73
ICUI,ICU Medical,4.94B,Health Care,232.72,-3.06%,"68,141",46.28
MCW,Mister Car Wash,4.94B,Consumer Cyclical,16.62,-0.89%,"436,378",0.00
UMBF,UMB Financial,4.93B,Financials,102.03,-5.06%,"137,199",11.50
IMAB,I-Mab,4.93B,Health Care,63.20,-2.63%,"314,736",0.00
SPWR,SunPower,4.92B,Information Technology,28.47,-5.16%,"1,728,254",14.01
RLI,RLI Corp.,4.92B,Financials,108.71,-4.70%,"98,800",18.54
GOOS,Canada Goose,4.92B,Consumer Discretionary,45.90,-4.91%,"846,300",102.92
TLRY,Tilray,4.90B,Health Care,10.57,-3.03%,"12,107,933",0.00
AMED,Amedisys,4.89B,Health Care,150.13,-5.26%,"272,897",22.55
AM,Antero Midstream,4.89B,Energy,10.25,-2.01%,"2,331,691",14.88
NOV,NOV Inc.,4.88B,Energy,12.49,-2.95%,"4,072,068",0.00
ATKR,Atkore,4.88B,Industrials,105.82,-6.36%,"439,589",11.69
KOD,Kodiak Sciences,4.88B,Health Care,94.30,-5.59%,"195,042",0.00
BYND,Beyond Meat,4.86B,Consumer Staples,76.72,1.55%,"1,829,861",0.00
BXMT,Blackstone Mortgage Trust,4.85B,Financials,30.90,-2.68%,"1,327,144",12.04
HHC,Howard Hughes Corp,4.85B,Real Estate,87.93,-4.63%,"133,161",0.00
SAIL,SailPoint Technologies,4.84B,Information Technology,51.89,-1.57%,"570,942",0.00
ANGI,Angi Inc.,4.84B,Communication Services,9.63,-0.72%,"1,113,781",0.00
HASI,Hannon Armstrong,4.82B,Real Estate,57.10,-5.04%,"477,467",51.96
UPWK,Upwork,4.82B,Industrials,37.61,-1.44%,"1,023,177",0.00
ADC,Agree Realty,4.82B,Real Estate,69.10,-1.45%,"344,321",39.17
TDC,Teradata,4.82B,Information Technology,44.39,-1.38%,"445,832",42.08
PSB,PS Business Parks,4.81B,Real Estate,174.66,-3.53%,"49,033",31.64
ROIV,Roivant Sciences,4.79B,Healthcare,7.00,0.14%,"190,101",0.00
SLGN,Silgan Holdings,4.79B,Materials,42.57,0.71%,"208,066",14.15
HQY,HealthEquity,4.79B,Health Care,57.39,-9.32%,"470,455","6,376.67"
BE,Bloom Energy,4.79B,Industrials,27.28,-3.74%,"2,163,456",0.00
TMX,Terminix Global Holdings,4.78B,Consumer Cyclical,39.47,-0.63%,"401,082",8.34
WEN,Wendy's,4.78B,Consumer Discretionary,21.32,-2.65%,"1,408,237",25.72
GTES,Gates Industrial,4.78B,Industrials,16.36,-1.56%,"682,360",18.76
HALO,Halozyme Therapeutics,4.77B,Health Care,33.85,-4.03%,"894,946",12.17
FSLY,Fastly,4.76B,Information Technology,40.53,1.12%,"1,679,684",0.00
FOCS,Focus Financial Partners,4.76B,Financials,65.52,-2.54%,"219,019",590.27
VSCO,Victoria's Secret &amp; Co.,4.76B,Consumer Cyclical,53.88,-2.95%,"1,514,358",6.34
ATC,Atotech,4.76B,Technology,24.45,-1.37%,"512,652",0.00
LTHM,Livent,4.76B,Materials,29.46,-4.16%,"1,567,290",0.00
SEAS,SeaWorld Entertainment,4.76B,Consumer Discretionary,61.58,-7.18%,"1,591,082",35.17
PINC,Premier,4.75B,Health Care,39.01,-0.86%,"340,906",18.33
MMS,Maximus,4.75B,Information Technology,77.22,-4.34%,"308,560",15.88
ALIT,Alight,4.75B,Technology,10.39,-0.86%,"972,037",0.00
ESNT,Essent Group,4.73B,Financials,42.86,-5.80%,"492,148",7.70
CERE,Cerevel Therapeutics,4.73B,Healthcare,32.14,-4.40%,"291,367",0.00
IHS,IHS Holding,4.73B,Communication Services,14.42,-3.42%,"232,208",0.00
OCDX,Ortho Clinical Diagnostics,4.73B,Health Care,19.96,-2.54%,"302,996",0.00
MTG,MGIC Investment,4.73B,Financials,14.52,-4.10%,"2,057,307",8.23
HR,Healthcare Realty Trust,4.72B,Real Estate,32.02,-2.50%,"721,339",167.64
SLG,SL Green Realty,4.72B,Real Estate,70.72,-5.98%,"793,349",7.26
VIR,Vir Biotechnology,4.71B,Health Care,36.00,12.43%,"3,501,178",0.00
STAA,STAAR Surgical,4.71B,Health Care,97.18,-6.21%,"258,051",207.21
CDK,CDK Global,4.70B,Information Technology,39.76,-1.27%,"546,756",4.64
SHLX,Shell Midstream Partners,4.70B,Energy,11.66,-3.32%,"1,333,100",9.60
SIGI,Selective Insurance Group,4.70B,Financials,78.09,-4.44%,"195,552",11.11
AL,Air Lease Corporation,4.69B,Industrials,41.11,-8.91%,"627,125",12.65
PZZA,Papa John's,4.69B,Consumer Discretionary,128.84,-3.74%,"393,754",0.00
TWST,Twist Bioscience,4.68B,Health Care,94.99,-0.85%,"280,965",0.00
MCFE,McAfee,4.68B,Information Technology,25.60,-0.23%,"823,022",0.11
FRPT,Freshpet,4.68B,Consumer Staples,107.87,-1.15%,"177,348",0.00
UBSI,United Bankshares,4.68B,Financials,36.22,-6.77%,"471,948",12.16
DIOD,Diodes Incorporated,4.68B,Information Technology,103.91,-4.35%,"126,126",25.20
SUM,Summit Materials,4.66B,Materials,39.27,-2.82%,"605,319",32.19
IONQ,IonQ,4.65B,Technology,24.18,-6.86%,"3,729,638",0.00
WD,Walker &amp; Dunlop,4.64B,Financials,144.88,-5.32%,"111,408",17.45
AMRC,Ameresco,4.62B,Industrials,89.70,-2.94%,"132,659",70.13
CGC,Canopy Growth,4.62B,Health Care,11.69,-1.52%,"3,445,415",0.00
PGNY,Progyny,4.62B,Health Care,51.07,-4.17%,"436,522",56.31
UNVR,Univar Solutions,4.61B,Industrials,26.99,-4.09%,"625,680",17.05
TGNA,Tegna,4.61B,Communication Services,20.85,-1.28%,"1,247,807",7.83
OPCH,Option Care Health,4.61B,Healthcare,25.62,-5.11%,"475,783",56.81
KNSL,Kinsale Capital Group,4.61B,Financials,201.89,-5.93%,"85,924",32.66
HIW,Highwoods Properties,4.60B,Real Estate,44.10,-4.94%,"296,671",17.13
DUOL,Duolingo,4.59B,Technology,122.58,2.31%,"247,011",0.00
MUSA,Murphy USA,4.58B,Consumer Discretionary,178.85,-3.53%,"93,311",13.97
QTWO,Q2 Holdings,4.58B,Information Technology,80.66,-3.01%,"212,717",0.00
