Symbol,Company Name,Market Cap,Sector,Price,Change 1D,Volume,PE Ratio
RY,Royal Bank of Canada,145.33B,Financials,101.52,-2.67%,"1,774,041",12.02
HON,Honeywell,143.34B,Industrials,208.21,-1.88%,"3,857,757",26.80
TMUS,T-Mobile US,141.80B,Communication Services,113.53,-0.83%,"4,215,749",42.68
BHP,BHP Group,138.24B,Materials,54.43,-1.89%,"2,270,649",12.20
PM,Philip Morris,138.06B,Consumer Staples,88.68,-1.50%,"2,666,799",15.45
JD,JD.com,137.63B,Consumer Discretionary,88.67,-0.77%,"8,181,516",24.82
BLK,BlackRock,136.97B,Financials,901.64,-3.12%,"502,072",23.98
UL,Unilever PLC,134.95B,Consumer Staples,52.49,0.75%,"4,234,082",22.51
TD,Toronto-Dominion Bank,134.59B,Financials,73.95,-2.21%,"3,099,399",10.91
BBL,BHP Group,134.49B,Materials,53.18,-1.81%,"1,709,591",11.92
MRNA,Moderna,133.65B,Health Care,329.63,20.57%,"35,851,736",19.75
SBUX,Starbucks,130.48B,Consumer Discretionary,110.66,-2.90%,"6,603,625",31.26
C,Citigroup,129.97B,Financials,65.50,-2.65%,"24,538,730",6.20
GS,The Goldman Sachs Group,129.89B,Financials,389.39,-2.45%,"2,687,450",6.42
AMAT,Applied Materials,129.38B,Information Technology,143.29,-3.84%,"7,332,198",24.91
NOW,ServiceNow,129.26B,Information Technology,649.55,0.04%,"710,380",595.37
BMY,Bristol-Myers Squibb,126.33B,Health Care,56.53,-0.49%,"15,733,274",0.00
RTX,Raytheon Technologies,125.09B,Industrials,83.00,-4.81%,"7,111,466",37.73
AXP,American Express,123.81B,Financials,156.82,-8.62%,"6,800,139",16.38
TTE,TotalEnergies,123.76B,Energy,46.64,-4.01%,"2,457,431",0.00
HDB,HDFC Bank,123.51B,Financials,66.88,-3.63%,"1,173,542",161.35
PTR,PetroChina,122.84B,Energy,42.83,-7.13%,"269,935",6.03
SNY,Sanofi,122.02B,Health Care,48.30,-1.69%,"1,384,218",17.35
CVS,CVS Health,120.81B,Health Care,91.52,-1.22%,"3,875,690",15.98
CHTR,Charter Communications,120.64B,Communication Services,672.87,0.03%,"753,879",30.66
EL,Estee Lauder,120.35B,Consumer Staples,334.35,-4.26%,"1,380,963",40.54
TGT,Target,120.34B,Consumer Discretionary,246.57,-0.88%,"3,179,693",19.67
AMT,American Tower,119.71B,Real Estate,262.87,-0.98%,"1,161,720",47.73
DEO,Diageo,117.62B,Consumer Staples,201.81,-2.63%,"284,541",33.19
ISRG,Intuitive Surgical,117.61B,Health Care,329.23,-3.00%,"1,490,877",70.99
BA,Boeing,117.08B,Industrials,199.21,-5.41%,"17,578,998",0.00
HSBC,HSBC Holdings,113.45B,Financials,27.77,-6.21%,"2,290,479",10.10
AMGN,Amgen,113.27B,Health Care,201.09,-1.41%,"3,116,805",20.73
DE,Deere &amp; Company,111.40B,Industrials,359.30,-2.33%,"2,308,417",20.85
PLD,Prologis,110.81B,Real Estate,149.88,-3.00%,"1,456,343",56.69
ABNB,Airbnb,110.47B,Consumer Discretionary,173.86,-3.35%,"6,040,403",0.00
SPGI,S&amp;P Global,109.54B,Financials,454.53,-1.94%,"833,942",39.19
SNOW,Snowflake,109.11B,Information Technology,362.60,2.04%,"1,570,339",0.00
CAT,Caterpillar,108.33B,Industrials,198.73,-4.03%,"3,492,997",21.26
GE,General Electric,107.44B,Industrials,97.84,-4.29%,"8,605,335",0.00
IBM,International Business Machines,103.80B,Information Technology,115.81,-0.79%,"3,320,740",21.92
ZTS,Zoetis,103.77B,Health Care,219.32,-1.73%,"970,391",52.86
GSK,GlaxoSmithKline,103.20B,Health Care,41.02,-1.39%,"2,812,777",17.91
LFC,China Life Insurance,103.20B,Financials,8.38,-4.34%,"524,124",5.86
BX,Blackstone,102.77B,Financials,143.81,-2.98%,"2,670,066",19.73
BUD,Anheuser-Busch InBev,101.55B,Consumer Staples,58.25,-0.77%,"3,460,558",23.53
MMM,3M Company,101.14B,Industrials,175.52,-1.19%,"1,909,527",17.36
RIO,Rio Tinto,100.93B,Materials,62.33,-2.23%,"3,123,561",5.41
ANTM,Anthem,100.85B,Health Care,415.52,-2.18%,"627,546",18.69
RIVN,Rivian Automotive,99.06B,Consumer Cyclical,112.13,-2.37%,"9,864,235",0.00
TEAM,Atlassian,98.96B,Information Technology,391.54,-0.39%,"449,413",0.00
SQ,Square,97.83B,Information Technology,212.08,-1.66%,"3,683,271",212.72
ADP,Automatic Data Processing,96.76B,Information Technology,229.62,-2.03%,"1,366,292",36.33
ADI,Analog Devices,95.66B,Information Technology,178.00,-2.45%,"2,538,461",38.95
LMT,Lockheed Martin,94.52B,Industrials,342.72,-0.25%,"1,036,546",15.79
COP,ConocoPhillips,94.28B,Energy,71.48,-4.48%,"9,348,173",19.39
INFY,Infosys,94.07B,Information Technology,22.20,-1.81%,"3,527,403",33.64
MU,Micron Technology,93.32B,Information Technology,83.42,-3.24%,"16,479,176",16.23
SYK,Stryker,92.69B,Health Care,243.48,-4.57%,"1,955,491",49.01
BAM,Brookfield Asset Management,90.58B,Financials,57.55,-2.66%,"931,815",26.87
LRCX,Lam Research,90.39B,Information Technology,641.98,-2.85%,"798,589",21.70
CNI,Canadian National Railway,89.90B,Industrials,126.87,-3.13%,"699,027",23.96
BKNG,Booking Holdings,88.51B,Consumer Discretionary,"2,155.56",-7.21%,"714,759",233.03
GILD,Gilead Sciences,88.15B,Health Care,70.27,0.29%,"5,593,354",12.02
GM,General Motors,87.36B,Consumer Discretionary,60.17,-3.25%,"13,267,872",8.05
BP,BP plc,86.38B,Energy,25.96,-6.11%,"16,765,648",13.35
USB,U.S. Bancorp,86.24B,Financials,57.50,-3.91%,"4,654,107",11.54
PDD,Pinduoduo,85.80B,Consumer Discretionary,68.46,-15.86%,"23,265,429",0.00
SHW,Sherwin-Williams,84.77B,Materials,323.30,-1.44%,"1,028,031",44.29
PNC,PNC Financial Services,84.57B,Financials,200.10,-4.09%,"1,458,995",19.67
BNTX,BioNTech SE,84.40B,Health Care,348.00,14.19%,"11,018,928",11.02
MDLZ,Mondelez International,84.05B,Consumer Staples,60.25,-1.74%,"4,999,254",19.18
MMC,Marsh &amp; McLennan,84.02B,Financials,166.41,-1.98%,"1,268,663",31.46
LCID,Lucid Group,83.67B,Consumer Cyclical,51.72,-1.62%,"36,662,332",0.00
TJX,TJX Companies,83.41B,Consumer Discretionary,69.36,-2.97%,"4,393,492",33.93
EQNR,Equinor,81.19B,Energy,24.73,-3.81%,"2,613,588",28.99
MO,Altria,80.35B,Consumer Staples,43.74,-0.77%,"4,996,357",29.28
TFC,Truist Financial,80.20B,Financials,60.08,-4.47%,"4,941,024",14.18
SNAP,"Snap, Inc.",80.10B,Communication Services,49.76,0.20%,"10,480,861",0.00
CME,CME Group,79.84B,Financials,222.16,-2.96%,"1,006,477",32.77
CB,Chubb,79.49B,Financials,184.55,-3.08%,"1,932,853",9.38
COIN,Coinbase,79.41B,Technology,303.19,-2.94%,"2,678,324",22.81
CCI,Crown Castle,79.31B,Real Estate,183.50,-1.69%,"806,967",63.92
